total_errors,generated_rate,uncorrectables,fails_bit
3178763.0,5.99945e-12,131562,1.95777e-05
3181121.0,6.00001e-12,131683,1.95957e-05
3178505.0,6.00147e-12,130660,1.94435e-05
3176849.0,5.99514e-12,131319,1.95415e-05
3182374.0,6.00814e-12,131187,1.95219e-05
3177916.0,5.99781e-12,130938,1.94848e-05
3181309.0,6.00281e-12,131507,1.95695e-05
3181394.0,6.00366e-12,131429,1.95579e-05
3173523.0,5.99108e-12,131061,1.95031e-05
3180135.0,6.00378e-12,131526,1.95723e-05
3177902.0,5.99989e-12,130843,1.94707e-05
3178061.0,5.99713e-12,131761,1.96073e-05
3178834.0,5.99942e-12,130747,1.94564e-05
3180281.0,6.00404e-12,130689,1.94478e-05
3181015.0,6.00208e-12,131449,1.95609e-05
3178518.0,5.99909e-12,130854,1.94723e-05
3176430.0,5.99672e-12,131276,1.95351e-05
3176738.0,5.99600e-12,131202,1.95241e-05
3180575.0,6.00368e-12,130779,1.94612e-05
3179386.0,6.00037e-12,130771,1.94600e-05
3177238.0,5.99797e-12,130937,1.94847e-05
3182568.0,6.00606e-12,131423,1.95570e-05
3182370.0,6.00514e-12,131157,1.95174e-05
3180063.0,6.00247e-12,131192,1.95226e-05
3177858.0,6.00004e-12,131114,1.95110e-05
3175233.0,5.99380e-12,131217,1.95263e-05
3178930.0,6.00202e-12,130705,1.94501e-05
3177633.0,5.99676e-12,131507,1.95695e-05
3180187.0,6.00376e-12,131348,1.95458e-05
3174018.0,5.99346e-12,130495,1.94189e-05
3175753.0,5.99669e-12,130447,1.94118e-05
3177404.0,5.99803e-12,131473,1.95644e-05
3176718.0,5.99466e-12,131343,1.95451e-05
3177012.0,5.99465e-12,131451,1.95612e-05
3178017.0,5.99898e-12,131090,1.95074e-05
3177229.0,5.99947e-12,130616,1.94369e-05
3179622.0,6.00291e-12,130689,1.94478e-05
3178015.0,5.99760e-12,131360,1.95476e-05
3181300.0,6.00505e-12,131403,1.95540e-05
3176620.0,5.99899e-12,130223,1.93784e-05
3177430.0,5.99847e-12,131097,1.95085e-05
3175415.0,5.99444e-12,130899,1.94790e-05
3179874.0,6.00164e-12,131116,1.95113e-05
3178190.0,6.00021e-12,130782,1.94616e-05
3177183.0,5.99369e-12,131437,1.95591e-05
3179883.0,6.00432e-12,130557,1.94281e-05
3177198.0,5.99813e-12,130908,1.94804e-05
3176211.0,5.99590e-12,130988,1.94923e-05
3177531.0,5.99871e-12,130880,1.94762e-05
3179004.0,5.99869e-12,131439,1.95594e-05
3180866.0,6.00365e-12,131352,1.95464e-05
3177841.0,5.99966e-12,130956,1.94875e-05
3181847.0,6.00420e-12,131548,1.95756e-05
3177346.0,5.99752e-12,130913,1.94811e-05
3183185.0,6.00613e-12,131771,1.96088e-05
3177520.0,5.99916e-12,131040,1.95000e-05
3175407.0,5.99451e-12,130982,1.94914e-05
3179030.0,5.99948e-12,131513,1.95704e-05
3177834.0,5.99751e-12,131586,1.95813e-05
3175440.0,5.99477e-12,130926,1.94830e-05
3182873.0,6.00549e-12,131755,1.96064e-05
3181725.0,6.00417e-12,131633,1.95882e-05
3182629.0,6.00734e-12,131644,1.95899e-05
3177121.0,5.99903e-12,130660,1.94435e-05
3178450.0,5.99779e-12,131519,1.95713e-05
3179067.0,6.00267e-12,130836,1.94696e-05
3176159.0,5.99558e-12,130775,1.94606e-05
3183857.0,6.00877e-12,131442,1.95598e-05
3175942.0,5.99532e-12,130967,1.94891e-05
3174679.0,5.99118e-12,131233,1.95287e-05
3179263.0,6.00148e-12,130523,1.94231e-05
3175127.0,5.99453e-12,131296,1.95381e-05
3177352.0,5.99732e-12,131181,1.95210e-05
3179478.0,6.00033e-12,131808,1.96143e-05
